Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[18, 15]	sub(div(sub(X15, 5), 5), div(2, sin(X18)))	None	3.0672577943738884e-08	1.062917153642781e+18	1	1000.0	24999	0	20.0	1000.0	25000	25000	1000	1000	1	3.0672577943738884e-08	1	0.0	3.0672577943738884e-08	0.0	1
[5, 6]	mul(sub(2, X6), sub(X5, 0))	None	3.875011665559691e-08	1.0628863380265889e+18	1	1000.0	24999	596	20.0	1000.0	24403	24404	999	1000	1	3.875011665559691e-08	1	0.0	3.875011665559691e-08	0.0	1
[2, 3, 4, 8, 14, 18, 19]	sub(mul(mul(mul(X18, X2), sin(div(sin(mul(add(5, X4), X8)), sin(X14)))), sub(mul(X3, -5), add(X4, -2))), div(X18, cos(X19)))	None	5.43466959141763e-08	1.0658310919921208e+18	1	1000.0	24999	2148	20.0	1000.0	22851	22852	999	1000	1	5.43466959141763e-08	1	0.0	5.43466959141763e-08	0.0	1
[2]	mul(mul(X2, sin(2)), X2)	None	6.430609198966565e-08	1.0628074466754911e+18	1	1000.0	24999	3395	20.0	1000.0	21604	21605	999	1000	1	6.430609198966565e-08	1	0.0	6.430609198966565e-08	0.0	1
[0, 2, 8, 11, 19]	sub(mul(mul(X11, X2), X0), add(X19, X8))	None	6.836964261157036e-08	1.0630221597612881e+18	1	1000.0	24999	3969	20.0	1000.0	21030	21031	999	1000	1	6.836964261157036e-08	1	0.0	6.836964261157036e-08	0.0	1
[19, 2, 11, 7]	mul(mul(X7, cos(mul(mul(X11, X2), -2))), X19)	None	7.10590148335445e-08	1.0629018656501796e+18	1	1000.0	24999	4367	20.0	1000.0	20632	20633	999	1000	1	7.10590148335445e-08	1	0.0	7.10590148335445e-08	0.0	1
[11, 19, 4, 7]	sub(mul(mul(mul(X7, -2), X19), X4), cos(cos(X11)))	None	7.741525405591478e-08	1.0602152737967379e+18	1	1000.0	24999	5354	20.0	1000.0	19645	19646	999	1000	1	7.741525405591478e-08	1	0.0	7.741525405591478e-08	0.0	1
[19, 2, 11]	mul(mul(mul(X11, X2), cos(mul(mul(X11, X2), -2))), X19)	None	7.739902049008114e-08	1.063163975629564e+18	1	1000.0	24999	5369	20.0	1000.0	19630	19631	999	1000	1	7.739902049008114e-08	1	0.0	7.739902049008114e-08	0.0	1
[2, 11, 7]	sub(mul(cos(X11), X7), X2)	None	8.124304489731028e-08	1.0628089940712598e+18	1	1000.0	24999	6015	20.0	1000.0	18984	18985	999	1000	1	8.124304489731028e-08	1	0.0	8.124304489731028e-08	0.0	1
[1, 2, 3, 4, 8]	div(div(add(mul(mul(X3, mul(-4, X4)), X8), X1), -1), sin(mul(mul(0, X2), X8)))	None	8.167229479454828e-08	1.0621607939302636e+18	1	1000.0	24999	6085	20.0	1000.0	18914	18915	999	1000	1	8.167229479454828e-08	1	0.0	8.167229479454828e-08	0.0	1
