Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[0, 3, 6, 9, 12, 19]	div(add(div(mul(-4, X3), mul(X12, -2)), add(div(-3, 0), sub(-5, X6))), div(sub(sub(4, -1), div(X9, -5)), mul(sub(X19, 0), cos(X0))))	None	3.018260618820445e-08	1.0977071658754524e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.018260618820445e-08	1	0.0	3.018260618820445e-08	0.0	1
[17, 13]	div(sub(sin(4), cos(X13)), sin(add(X17, 0)))	None	3.0182452628935394e-08	1.0977183355140492e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.0182452628935394e-08	1	0.0	3.0182452628935394e-08	0.0	1
[8, 12]	sin(mul(sin(mul(X8, -2)), cos(X12)))	None	3.018245283969292e-08	1.0977183201837903e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.018245283969292e-08	1	0.0	3.018245283969292e-08	0.0	1
[9, 10, 17, 7]	div(cos(sin(X10)), add(mul(-5, X7), div(X9, X17)))	None	3.018245287458113e-08	1.0977183176460622e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.018245287458113e-08	1	0.0	3.018245287458113e-08	0.0	1
[12, 5]	add(div(add(sin(4), sin(1)), cos(X5)), sin(sin(X12)))	None	3.018245286109114e-08	1.0977183186273089e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.018245286109114e-08	1	0.0	3.018245286109114e-08	0.0	1
[9, 18, 12]	div(cos(add(add(X12, X9), -3)), sub(sin(cos(X18)), -5))	None	3.0182452869612235e-08	1.097718318007494e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.0182452869612235e-08	1	0.0	3.0182452869612235e-08	0.0	1
[4, 6]	cos(div(cos(sin(X4)), sin(sin(X6))))	None	3.0182453015847464e-08	1.0977183073705126e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.0182453015847464e-08	1	0.0	3.0182453015847464e-08	0.0	1
[10, 4]	div(cos(sub(X4, X10)), cos(mul(X4, X10)))	None	3.018245278612243e-08	1.0977183240804457e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.018245278612243e-08	1	0.0	3.018245278612243e-08	0.0	1
[0, 1, 2, 5, 11, 15, 17, 19]	mul(mul(sub(sin(X15), div(X11, X19)), cos(div(X17, X1))), div(X0, add(-1, add(X5, X2))))	None	3.018245537200888e-08	1.0977181359860796e+18	1	1000.0	24992	0	20.0	1000.0	25000	25000	1000	1000	1	3.018245537200888e-08	1	0.0	3.018245537200888e-08	0.0	1
[9, 3, 12]	mul(div(div(mul(X3, X9), sin(X3)), cos(cos(X3))), add(X12, 4))	None	3.6734853360407795e-08	1.1293493701739151e+18	1	1000.0	24992	524	20.0	1000.0	24475	24476	999	1000	1	3.6734853360407795e-08	1	0.0	3.6734853360407795e-08	0.0	1
[2, 3, 7]	mul(mul(X7, X2), mul(X2, X3))	None	4.695119555443589e-08	1.339130807423843e+18	1	1000.0	24992	1952	20.0	1000.0	23047	23048	999	1000	1	4.695119555443589e-08	1	0.0	4.695119555443589e-08	0.0	1
[2, 12]	mul(X2, add(X12, 2))	None	5.247809193774611e-08	1.0878917701474806e+18	1	1000.0	24992	1996	20.0	1000.0	23003	23004	999	1000	1	5.247809193774611e-08	1	0.0	5.247809193774611e-08	0.0	1
[0, 3, 13, 14]	mul(add(X3, mul(X13, X14)), mul(X0, cos(1)))	None	5.558299349172004e-08	1.097599439056612e+18	1	1000.0	24992	2391	20.0	1000.0	22608	22609	999	1000	1	5.558299349172004e-08	1	0.0	5.558299349172004e-08	0.0	1
[0, 9, 3, 14]	mul(X14, mul(X0, cos(add(X9, X3))))	None	5.613464883950254e-08	1.0973948552187446e+18	1	1000.0	24992	2458	20.0	1000.0	22541	22542	999	1000	1	5.613464883950254e-08	1	0.0	5.613464883950254e-08	0.0	1
[]	mul(4, sub(2, 0))	None	5.917609064584905e-08	1.0977180000744547e+18	1	1000.0	24992	2844	20.0	1000.0	22155	22156	999	1000	1	5.917609064584905e-08	1	0.0	5.917609064584905e-08	0.0	1
[8, 2, 3, 6]	mul(sub(mul(X3, X8), X6), sub(X2, X2))	None	6.147892308394036e-08	1.0977182347961751e+18	1	1000.0	24992	3149	20.0	1000.0	21850	21851	999	1000	1	6.147892308394036e-08	1	0.0	6.147892308394036e-08	0.0	1
[8, 16, 3]	mul(div(X8, sub(cos(cos(X3)), 0)), add(X16, 4))	None	6.223797569970621e-08	1.0971801923050982e+18	1	1000.0	24992	3250	20.0	1000.0	21749	21750	999	1000	1	6.223797569970621e-08	1	0.0	6.223797569970621e-08	0.0	1
[0, 3, 13, 14]	mul(add(X3, mul(X13, cos(X14))), mul(X0, cos(1)))	None	6.329132075707556e-08	1.0971613678748119e+18	1	1000.0	24992	3395	20.0	1000.0	21604	21605	999	1000	1	6.329132075707556e-08	1	0.0	6.329132075707556e-08	0.0	1
[8, 9, 16]	mul(div(X8, sub(X9, 0)), add(X16, 4))	None	6.919410988817547e-08	1.0975755055481806e+18	1	1000.0	24992	4255	20.0	1000.0	20744	20745	999	1000	1	6.919410988817547e-08	1	0.0	6.919410988817547e-08	0.0	1
[16, 9, 2, 13]	mul(div(div(mul(X9, X16), sin(-2)), cos(cos(X13))), X2)	None	7.23603953488502e-08	1.0979697719432319e+18	1	1000.0	24992	4749	20.0	1000.0	20250	20251	999	1000	1	7.23603953488502e-08	1	0.0	7.23603953488502e-08	0.0	1
[9, 3, 12]	mul(div(div(4, sin(-2)), cos(X3)), div(mul(X12, X9), X12))	None	7.44790460529614e-08	1.0976849213928168e+18	1	1000.0	24992	5089	20.0	1000.0	19910	19911	999	1000	1	7.44790460529614e-08	1	0.0	7.44790460529614e-08	0.0	1
[3, 12]	mul(4, add(X12, cos(X3)))	None	7.457474393203213e-08	1.0975666910124399e+18	1	1000.0	24992	5104	20.0	1000.0	19895	19896	999	1000	1	7.457474393203213e-08	1	0.0	7.457474393203213e-08	0.0	1
