Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[9, 13]	sin(mul(X9, X13))	None	3.030820798241934e-08	1.0886278888389494e+18	1	1000.0	29988	0	20.0	1000.0	30000	30000	1000	1000	1	3.030820798241934e-08	1	0.0	3.030820798241934e-08	0.0	1
[3, 6, 12, 13, 15, 18]	mul(cos(mul(add(X15, X12), div(-3, -2))), div(mul(X13, X6), div(X3, X18)))	None	3.942426662548863e-08	1.0886119011559846e+18	1	1000.0	29988	692	20.0	1000.0	29307	29308	999	1000	1	3.942426662548863e-08	1	0.0	3.942426662548863e-08	0.0	1
[10, 12]	add(mul(div(mul(2, X10), sin(X12)), add(3, -4)), 0)	None	4.965362965532055e-08	1.0886304229278049e+18	1	1000.0	29988	1684	20.0	1000.0	28315	28316	999	1000	1	4.965362965532055e-08	1	0.0	4.965362965532055e-08	0.0	1
[3, 6, 7, 11, 12, 18]	mul(mul(sub(div(X3, X18), sub(X12, div(X3, X18))), X6), mul(4, div(mul(X18, X7), mul(X11, -4))))	None	5.5826186120772386e-08	1.1047424848595492e+18	1	1000.0	29988	2443	20.0	1000.0	27556	27557	999	1000	1	5.5826186120772386e-08	1	0.0	5.5826186120772386e-08	0.0	1
[18, 5]	mul(X18, sub(X5, div(0, -4)))	None	6.591718531320752e-08	1.0816842136568819e+18	1	1000.0	29988	3700	20.0	1000.0	26299	26300	999	1000	1	6.591718531320752e-08	1	0.0	6.591718531320752e-08	0.0	1
[18, 19]	sub(X18, X19)	None	7.591569745346235e-08	1.0882854204756422e+18	1	1000.0	29988	5272	20.0	1000.0	24727	24728	999	1000	1	7.591569745346235e-08	1	0.0	7.591569745346235e-08	0.0	1
[3, 7, 13, 14, 18]	mul(mul(sub(sin(4), sub(X18, X3)), sub(sin(-3), X14)), mul(4, div(mul(X13, X7), mul(X18, -4))))	None	7.797209228492213e-08	1.0850956940479524e+18	1	1000.0	29988	5597	20.0	1000.0	24402	24403	999	1000	1	7.797209228492213e-08	1	0.0	7.797209228492213e-08	0.0	1
[18, 10, 15]	mul(X18, sub(X15, X10))	None	7.871356561836631e-08	1.0886360556096238e+18	1	1000.0	29988	5745	20.0	1000.0	24254	24255	999	1000	1	7.871356561836631e-08	1	0.0	7.871356561836631e-08	0.0	1
[0, 18, 13, 6]	sub(mul(div(mul(X13, -4), div(X18, cos(X6))), X0), X0)	None	7.978415943404541e-08	1.0860082884140225e+18	1	1000.0	29988	5913	20.0	1000.0	24086	24087	999	1000	1	7.978415943404541e-08	1	0.0	7.978415943404541e-08	0.0	1
[2, 3, 7, 11, 12, 14, 18]	mul(mul(sub(sin(X14), sub(sub(sin(div(mul(3, X7), mul(div(mul(X18, X7), mul(X11, -4)), -4))), sub(X12, X3)), X3)), sub(sin(-3), sin(mul(mul(X18, X2), sin(sin(-3)))))), cos(add(sub(X12, X3), -4)))	None	8.492421282697259e-08	1.0881677749523173e+18	1	1000.0	29988	6848	20.0	1000.0	23151	23152	999	1000	1	8.492421282697259e-08	1	0.0	8.492421282697259e-08	0.0	1
[6, 7, 9, 11, 18]	mul(mul(-4, div(mul(3, X7), mul(X11, -4))), div(mul(sub(sin(-3), 4), X6), sin(div(X9, X18))))	None	8.505693692121837e-08	1.0880917912874351e+18	1	1000.0	29988	6872	20.0	1000.0	23127	23128	999	1000	1	8.505693692121837e-08	1	0.0	8.505693692121837e-08	0.0	1
[6]	sub(3, div(add(3, X6), 3))	None	8.681595098174412e-08	1.088627889381728e+18	1	1000.0	29988	7205	20.0	1000.0	22794	22795	999	1000	1	8.681595098174412e-08	1	0.0	8.681595098174412e-08	0.0	1
[13]	mul(cos(div(2, mul(sin(sub(cos(X13), -3)), 2))), -3)	None	9.214890977049712e-08	1.0886278838105315e+18	1	1000.0	29988	8244	20.0	1000.0	21755	21756	999	1000	1	9.214890977049712e-08	1	0.0	9.214890977049712e-08	0.0	1
[0]	mul(cos(X0), X0)	None	1.008949274899285e-07	1.0886277310464842e+18	1	1000.0	29988	10082	20.0	1000.0	19917	19918	999	1000	1	1.008949274899285e-07	1	0.0	1.008949274899285e-07	0.0	1
