Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	RMSE	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	1000	1000	34167964.66561395	2.9267179959923183e-08	0	1000	0.8688999999999995	0.0	0.962706430753072
2	200	1000	1000	32518863.278684963	3.0751381457545765e-08	0	1000	0.8681499999999994	0.0	1.8829768339792887
3	300	1000	1000	27364961.085688643	3.654308004771478e-08	0	1000	0.8673999999999993	0.0	2.7530803322792052
4	400	1000	1000	30233306.568421077	3.3076103159963477e-08	0	1000	0.8669499999999992	0.0	3.622924065589905
5	500	998	1000	35471948.11567055	2.819128987637804e-08	0	998	0.8662999999999994	0.0	4.528442132472992
6	600	998	1000	27658260.614522394	3.6155562266969613e-08	0	998	0.8643999999999991	0.0	5.497998881340027
7	700	998	1000	42223820.04142154	2.3683313715710397e-08	0	998	0.8631499999999989	0.0	6.487784667809804
8	800	998	1000	28093836.81574199	3.559499440975857e-08	0	998	0.8625499999999989	0.0	7.344401550292969
9	900	998	1000	30036592.104396414	3.3292723862668415e-08	0	998	0.8619999999999988	0.0	8.233993816375733
10	1000	998	1000	37660388.897381395	2.6553097371664016e-08	0	998	0.8612499999999986	0.0	9.203565430641174
11	1100	998	1000	29602076.56285681	3.378141273620435e-08	0	998	0.8595499999999988	0.9338677354709419	9.337313401699067
12	1200	998	1000	32540598.728220213	3.0730841113932176e-08	0	998	0.8584999999999985	0.9328657314629258	9.46560046672821
13	1300	998	1000	27519331.8715002	3.6338090195334215e-08	0	998	0.8583999999999985	0.9348697394789579	9.588757081826527
14	1400	998	1000	30440856.467186034	3.2850585798312616e-08	0	998	0.8584999999999984	0.9348697394789579	9.724842230478922
15	1500	998	1000	35586885.72880561	2.8100238372089894e-08	0	998	0.8584499999999984	0.9328657314629258	9.867377714316051
16	1600	998	1000	27722295.112494033	3.607204814284177e-08	0	998	0.8580499999999984	0.93687374749499	9.996546800931295
17	1700	998	1000	42211014.80111884	2.369049834554074e-08	0	998	0.8574999999999985	0.93687374749499	10.128228183587392
18	1800	996	1000	28020549.331762135	3.568809278047869e-08	0	996	0.8567499999999983	0.9367469879518072	10.25401438474655
19	1900	997	1000	30021067.593485657	3.330994021368688e-08	0	997	0.8564499999999984	0.9358074222668004	10.379196266333262
20	2000	997	1000	37276610.063314736	2.6826472994057558e-08	0	997	0.8558999999999982	0.9338014042126379	10.509999966621399
21	2100	997	1000	29455885.02108836	3.3949072157736816e-08	0	997	0.8549999999999985	0.9368104312938816	10.637439282735189
22	2200	997	1000	32445708.51983444	3.082071604532761e-08	0	997	0.8534999999999984	0.9348044132397192	10.769225748380025
23	2300	997	1000	27417279.867299367	3.6473347041234186e-08	0	997	0.8535499999999984	0.9368104312938816	10.898389565944672
24	2400	998	1000	30234857.421742786	3.307440656910337e-08	0	998	0.8524999999999981	0.9318637274549099	11.030741465091705
25	2500	998	1000	35467388.14008883	2.8194914377548556e-08	0	998	0.8522999999999981	0.9338677354709419	11.162868666648865
26	2600	998	1000	27720012.64262594	3.6075018320419166e-08	0	998	0.8520499999999981	0.9318637274549099	11.291947996616363
27	2700	998	1000	42210770.42451498	2.3690635500189522e-08	0	998	0.8518499999999981	0.9288577154308617	11.430615135033925
28	2800	998	1000	28019951.933888186	3.5688853666508824e-08	0	998	0.8511499999999982	0.9258517034068137	11.565605115890502
29	2900	998	1000	30021865.487923507	3.3309054931753045e-08	0	998	0.8507499999999983	0.9248496993987976	11.702022496859232
30	3000	998	1000	37283215.54488619	2.6821720137694536e-08	0	998	0.8511499999999983	0.9248496993987976	11.843550995985668
31	3100	998	1000	29471335.92350101	3.393127371845085e-08	0	998	0.8496999999999981	0.9248496993987976	11.981100634733837
32	3200	998	1000	32447243.26827323	3.081925823136221e-08	0	998	0.8489999999999982	0.9268537074148296	12.12133725086848
33	3300	998	1000	27125843.145103388	3.686521218107473e-08	0	998	0.8480999999999984	0.9188376753507014	12.260919713974
34	3400	998	1000	30107444.38939935	3.3214375615942956e-08	0	998	0.8475499999999985	0.9208416833667334	12.401952616373698
35	3500	999	1000	35531075.363558635	2.814437676381849e-08	0	999	0.8469999999999986	0.9179179179179179	12.547533981005351
36	3600	997	1000	27841863.62697121	3.591713462435527e-08	0	997	0.8466499999999985	0.9187562688064193	12.690336147944132
37	3700	997	1000	42176392.43601407	2.3709945742921402e-08	0	997	0.8464999999999983	0.9187562688064193	12.837974699338277
38	3800	997	1000	28037762.444717173	3.5666182931164516e-08	0	997	0.8467999999999982	0.9187562688064193	12.981222498416901
39	3900	997	1000	30028408.901526306	3.330179664122579e-08	0	997	0.8466499999999981	0.9197592778335005	13.124769381682079
40	4000	997	1000	37319972.041052215	2.6795303386205384e-08	0	997	0.8468499999999981	0.917753259779338	13.273619401454926
41	4100	997	1000	29465739.52550593	3.3937718250603166e-08	0	997	0.8464499999999983	0.9187562688064193	13.418979402383169
42	4200	995	1000	32446915.15986823	3.0819569880629946e-08	0	995	0.8450499999999984	0.9165829145728643	13.570862531661987
43	4300	995	1000	27424040.570101846	3.646435546138527e-08	0	995	0.8453999999999983	0.9216080402010051	13.713112449645996
44	4400	995	1000	30234938.83380486	3.307431751135576e-08	0	995	0.8441499999999983	0.9206030150753769	13.86078844865163
45	4500	996	1000	35469849.117548056	2.8192958151386956e-08	0	996	0.8436499999999982	0.9226907630522089	14.007287867863973
46	4600	996	1000	27744567.49171257	3.604309075121152e-08	0	996	0.8436999999999983	0.9246987951807228	14.14485114812851
47	4700	996	1000	42211095.24836197	2.369045319543924e-08	0	996	0.8433499999999985	0.9226907630522089	14.291210397084553
48	4800	996	1000	28021417.284551185	3.568698735535887e-08	0	996	0.8434499999999986	0.9236947791164659	14.429040316740672
49	4900	997	1000	30024336.083497953	3.3306314048466446e-08	0	997	0.8434999999999985	0.925777331995988	14.59201568365097
50	5000	997	1000	37272770.22032509	2.6829236658815788e-08	0	997	0.8433999999999986	0.9277833500501504	14.736444731553396
51	5100	998	1000	29472969.98406324	3.39293924776272e-08	0	998	0.8431999999999986	0.9288577154308617	14.87231341600418
52	5200	998	1000	32446740.523362204	3.081973575928982e-08	0	998	0.8419999999999985	0.9278557114228457	15.014630130926768
53	5300	998	1000	27424038.74392744	3.6464357889556806e-08	0	998	0.8406499999999985	0.9228456913827655	15.157255880037944
54	5400	995	1000	30234715.11168201	3.30745622451412e-08	0	995	0.8402999999999983	0.9276381909547738	15.299363998572032
55	5500	994	1000	35470052.49914982	2.819279649589389e-08	0	994	0.8398999999999981	0.9295774647887324	15.438773063818614
56	5600	994	1000	27744392.572779197	3.604331799059858e-08	0	994	0.8393999999999981	0.9275653923541247	15.578387184937794
57	5700	993	1000	42214306.37269588	2.368865112890133e-08	0	993	0.8393999999999981	0.9284994964753273	15.717732667922974
58	5800	993	1000	28020972.60098365	3.5687553696024894e-08	0	993	0.839199999999998	0.9264853977844915	15.855063215891521
59	5900	991	1000	30024510.666469894	3.330612038285897e-08	0	991	0.8394999999999982	0.9273461150353178	15.991294085979462
60	6000	991	1000	37267011.91165884	2.6833382175558105e-08	0	991	0.8393499999999985	0.9253279515640767	16.131047149499256
