Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2]	sub(sin(add(add(-2, 5), div(X2, 5))), sin(-5))	None	3.017058570541101e-08	1.0985820311617274e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058570541101e-08	1	0.0	3.017058570541101e-08	0.0	1
[10, 15]	sin(div(X10, X15))	None	3.01705862190587e-08	1.0985819937554848e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.01705862190587e-08	1	0.0	3.01705862190587e-08	0.0	1
[0, 8, 19]	cos(cos(div(div(X0, X8), div(X19, 1))))	None	3.0170586515196725e-08	1.0985819721893207e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.0170586515196725e-08	1	0.0	3.0170586515196725e-08	0.0	1
[]	div(sin(0), sin(2))	None	3.0170586210089396e-08	1.0985819944086716e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.0170586210089396e-08	1	0.0	3.0170586210089396e-08	0.0	1
[10, 19]	sin(div(cos(div(-2, X10)), mul(-2, X19)))	None	3.017058621007884e-08	1.0985819944094404e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058621007884e-08	1	0.0	3.017058621007884e-08	0.0	1
[6]	add(add(sin(sin(-2)), div(-2, div(2, X6))), sin(1))	None	3.01705873170371e-08	1.098581913795536e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.01705873170371e-08	1	0.0	3.01705873170371e-08	0.0	1
[19, 3, 5]	cos(add(cos(X5), add(X3, X19)))	None	3.017058619034926e-08	1.0985819958462415e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058619034926e-08	1	0.0	3.017058619034926e-08	0.0	1
[0, 3, 6, 9, 12, 19]	div(add(div(mul(-4, X3), mul(X12, -2)), add(div(-3, 0), sub(-5, X6))), div(sub(sub(4, -1), div(X9, -5)), mul(sub(X19, 0), cos(X0))))	None	3.017095013800657e-08	1.0985554919448084e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017095013800657e-08	1	0.0	3.017095013800657e-08	0.0	1
[0, 11, 13]	sub(cos(sub(cos(X11), sub(-5, -2))), div(add(sub(1, X0), mul(-1, 3)), cos(div(X13, X11))))	None	3.01705631352634e-08	1.0985836748280065e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.01705631352634e-08	1	0.0	3.01705631352634e-08	0.0	1
[8, 1]	sub(div(sub(3, 5), X8), sub(X1, sub(0, 2)))	None	3.017058487764169e-08	1.09858209144379e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058487764169e-08	1	0.0	3.017058487764169e-08	0.0	1
[]	div(sin(1), cos(-5))	None	3.017058786248958e-08	1.098581874073125e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058786248958e-08	1	0.0	3.017058786248958e-08	0.0	1
[4]	sin(cos(X4))	None	3.017058621693149e-08	1.0985819939103986e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058621693149e-08	1	0.0	3.017058621693149e-08	0.0	1
[5]	cos(mul(2, X5))	None	3.017058624470676e-08	1.0985819918876727e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058624470676e-08	1	0.0	3.017058624470676e-08	0.0	1
[16, 2]	add(cos(div(4, X16)), mul(sin(4), cos(X2)))	None	3.017058674314923e-08	1.098581955588747e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058674314923e-08	1	0.0	3.017058674314923e-08	0.0	1
[8]	mul(cos(X8), sin(-5))	None	3.017058620797829e-08	1.0985819945624124e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058620797829e-08	1	0.0	3.017058620797829e-08	0.0	1
[0, 9, 1, 15]	add(add(add(mul(-3, X9), X9), -4), sub(sin(X15), div(X1, X0)))	None	3.017058802251791e-08	1.0985818624191113e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017058802251791e-08	1	0.0	3.017058802251791e-08	0.0	1
[8, 2, 4, 14]	sub(sin(div(X8, -5)), sub(mul(X14, X4), sub(X2, -1)))	None	3.017057546930827e-08	1.0985827766033117e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017057546930827e-08	1	0.0	3.017057546930827e-08	0.0	1
[0, 4, 11, 13, 17]	add(sin(sin(sub(-2, X17))), div(sub(add(X13, X0), add(1, -6)), mul(div(X4, X4), add(2, X11))))	None	3.01705857918869e-08	1.098582024864146e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.01705857918869e-08	1	0.0	3.01705857918869e-08	0.0	1
[5, 15]	sin(add(X15, X5))	None	3.01705862001356e-08	1.0985819951335542e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.01705862001356e-08	1	0.0	3.01705862001356e-08	0.0	1
[0, 2, 8, 10, 13, 14]	sub(div(cos(div(X10, X13)), add(cos(X14), sin(X0))), mul(mul(mul(-3, -2), sub(X13, X8)), div(cos(X2), div(-1, 0))))	None	3.017059081778948e-08	1.0985816588543471e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.017059081778948e-08	1	0.0	3.017059081778948e-08	0.0	1
[18, 15]	sin(sub(sub(X15, X18), div(-3, -3)))	None	3.0170586215837005e-08	1.0985819939901038e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.0170586215837005e-08	1	0.0	3.0170586215837005e-08	0.0	1
[16]	mul(sin(div(2, X16)), add(sin(-4), sin(X16)))	None	3.0170586215584655e-08	1.0985819940084812e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.0170586215584655e-08	1	0.0	3.0170586215584655e-08	0.0	1
[19, 17, 10, 3]	div(sin(mul(div(X3, X17), cos(X19))), sub(add(cos(4), add(-6, 5)), cos(sin(X10))))	None	3.0170586202067855e-08	1.0985819949928381e+18	1	1000.0	9999	0	20.0	1000.0	10000	10000	1000	1000	1	3.0170586202067855e-08	1	0.0	3.0170586202067855e-08	0.0	1
