Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[19, 18, 3, 4]	sub(add(sin(X3), X19), div(X18, add(1, X4)))	None	0.09686012899886713	0.52875	1	1000.0	24989	0	20.0	1000.0	13213	25000	846	1600	1	0.1447049405442118	46.0	0.09686012899886713	0.09686012899886713	0.009381884589677182	1
[19, 9, 3]	sub(cos(X3), div(X9, X19))	None	0.10101725725949488	0.53	1	1000.0	24989	960	20.0	1000.0	12742	24040	848	1600	1	0.15090500300116502	48.0	0.10101725725949488	0.10101725725949488	0.010204486264230971	1
[4, 8, 9, 12, 18, 19]	div(sub(cos(add(4, -6)), mul(mul(X12, X8), mul(sub(X19, X9), X4))), cos(add(add(X19, X18), mul(4, X12))))	None	0.0676056763956763	0.52	1	1000.0	24989	1944	20.0	1000.0	11993	23056	832	1600	1	0.10102022118658052	32.0	0.0676056763956763	0.0676056763956763	0.004570527480916904	1
[18, 19]	cos(div(div(cos(-2), div(X18, -5)), sub(X19, cos(sub(X18, 2)))))	None	0.0676056763956763	0.52	1	1000.0	24989	2097	20.0	1000.0	11937	22903	832	1600	1	0.10102022118658052	32.0	0.0676056763956763	0.0676056763956763	0.004570527480916904	1
[9, 19]	sub(cos(X9), div(X9, X19))	None	0.09477934961180354	0.528125	1	1000.0	24989	2154	20.0	1000.0	12060	22846	845	1600	1	0.14160072795445547	45.0	0.09477934961180354	0.09477934961180354	0.008983125112836483	1
[18, 19, 4]	sub(add(sin(X19), X19), div(X18, add(1, X4)))	None	0.08435418465394062	0.525	1	1000.0	24989	2474	20.0	1000.0	11829	22526	840	1600	1	0.12604013747294218	40.0	0.08435418465394062	0.08435418465394062	0.007115628468631112	1
[19, 3]	mul(add(sub(add(sin(X3), X19), 1), -3), mul(div(-3, X3), X19))	None	0.07808287963939528	0.523125	1	1000.0	24989	2550	20.0	1000.0	11744	22450	837	1600	1	0.11667423825612343	37.0	0.07808287963939528	0.07808287963939528	0.00609693609278029	1
[0, 2, 4, 18, 19]	sub(add(sin(mul(mul(mul(X18, X2), sin(2)), X0)), X19), div(X18, add(1, X4)))	None	0.07598988014943849	0.5225	1	1000.0	24987	2576	20.0	1000.0	11719	22424	836	1600	1	0.11354769670306124	36.0	0.07598988014943849	0.07598988014943849	0.005774461885126025	1
[18, 2, 14, 7]	add(add(mul(X18, X2), -1), div(X7, X14))	None	0.07180017285573259	0.52125	1	1000.0	24988	2723	20.0	1000.0	11615	22277	834	1600	1	0.10728810282224256	34.0	0.07180017285573259	0.07180017285573259	0.0051552648221130795	1
[2, 17, 18, 19]	cos(div(div(cos(sin(X17)), div(X18, -5)), sub(X19, cos(X2))))	None	0.16659641733121247	0.55	1	1000.0	24984	2987	20.0	1000.0	12091	22013	880	1600	1	0.24824154977579008	80.0	0.16659641733121247	0.16659641733121247	0.02775436626759551	1
[18, 19, 4]	sub(X19, div(div(X18, add(1, X4)), add(1, X4)))	None	0.07180017285573259	0.52125	1	1000.0	24989	3332	20.0	1000.0	11300	21668	834	1600	1	0.10728810282224256	34.0	0.07180017285573259	0.07180017285573259	0.0051552648221130795	1
[19, 3, 4]	sub(add(sin(X3), X19), div(X4, add(X19, X4)))	None	0.0697035115743324	0.520625	1	1000.0	24989	3678	20.0	1000.0	11110	21322	833	1600	1	0.10415516839746244	33.0	0.0697035115743324	0.0697035115743324	0.0048585795257930905	1
[17, 18, 4]	sub(add(sin(X17), X17), div(X18, add(1, X4)))	None	0.0655066908441221	0.519375	1	1000.0	24985	4090	20.0	1000.0	10856	20910	831	1600	1	0.09788332053674872	31.0	0.0655066908441221	0.0655066908441221	0.00429112654534739	1
[17, 18, 19]	sub(add(sin(X17), X19), div(X18, X17))	None	0.3954076402116528	0.626875	1	1000.0	24989	4172	20.0	1000.0	13058	20828	1003	1600	1	0.568669426261809	203.0	0.3954076402116528	0.3954076402116528	0.15634720193774787	1
[18, 19, 4]	sub(add(X18, X19), div(X18, add(X19, X4)))	None	0.09477934961180354	0.528125	1	1000.0	24989	4239	20.0	1000.0	10967	20761	845	1600	1	0.14160072795445547	45.0	0.09477934961180354	0.09477934961180354	0.008983125112836483	1
[17, 18, 19]	sub(add(sin(X17), X19), div(X18, X19))	None	0.2982158709022206	0.5925	1	1000.0	24989	4315	20.0	1000.0	12248	20685	948	1600	1	0.43798228795354666	148.0	0.2982158709022206	0.2982158709022206	0.08893270565796992	1
[18, 19]	sub(X19, div(X18, add(1, X18)))	None	0.0697035115743324	0.520625	1	1000.0	24989	4347	20.0	1000.0	10752	20653	833	1600	1	0.10415516839746244	33.0	0.0697035115743324	0.0697035115743324	0.0048585795257930905	1
[17, 18, 19]	sub(add(sin(X17), X19), div(X18, cos(sin(X17))))	None	0.2721111356425708	0.58375	1	1000.0	24989	4485	20.0	1000.0	11965	20515	934	1600	1	0.4012478359157069	134.0	0.2721111356425708	0.2721111356425708	0.07404447014068956	1
[17, 18, 19, 4]	sub(add(sin(X17), X19), div(X18, add(sin(X17), X4)))	None	0.20058735685807183	0.560625	1	1000.0	24987	4527	20.0	1000.0	11457	20473	897	1600	1	0.2981608979895634	97.0	0.20058735685807183	0.20058735685807183	0.040235287731307454	1
[17, 18, 19, 4]	cos(div(div(cos(sin(X17)), div(X18, -5)), sub(X19, cos(X4))))	None	0.2104566139805392	0.56375	1	1000.0	24987	4614	20.0	1000.0	11463	20386	902	1600	1	0.31256006334057984	102.0	0.2104566139805392	0.2104566139805392	0.04429198636815369	1
[18, 19, 4]	sub(add(sin(X18), X19), div(X18, add(1, X4)))	None	0.09061347041820687	0.526875	1	1000.0	24987	4649	20.0	1000.0	10704	20351	843	1600	1	0.13538422505044775	43.0	0.09061347041820687	0.09061347041820687	0.008210801021231251	1
[17, 18, 19]	cos(div(div(cos(sin(X17)), div(X18, -5)), sub(X19, cos(X17))))	None	0.7025177009816127	0.7575	1	1000.0	24987	4770	20.0	1000.0	15296	20230	1212	1600	1	0.870117509849022	412.0	0.7025177009816127	0.7025177009816127	0.4935311201924906	1
[18, 2, 19, 4]	sub(add(sub(X19, cos(X2)), X19), div(X18, add(1, X4)))	None	0.07389563681912142	0.521875	1	1000.0	24989	4990	20.0	1000.0	10441	20010	835	1600	1	0.11041896526852456	35.0	0.07389563681912142	0.07389563681912142	0.005460565140903494	1
[17, 18, 19]	sub(add(sin(X17), X19), div(X18, sin(X17)))	None	0.2084876134769768	0.563125	1	1000.0	24989	5199	20.0	1000.0	11156	19801	901	1600	1	0.3096911166434483	101.0	0.2084876134769768	0.2084876134769768	0.043467084973325285	1
[17, 18, 19, 4]	sub(add(sin(X17), X19), div(X18, add(add(sin(X17), X19), X4)))	None	0.09893943884467704	0.529375	1	1000.0	24987	5224	20.0	1000.0	10479	19776	847	1600	1	0.14780638449002767	47.0	0.09893943884467704	0.09893943884467704	0.009789012558899588	1
[17, 19]	sub(add(sin(X17), X19), div(sin(X17), add(X19, X17)))	None	0.07180017285573259	0.52125	1	1000.0	24989	5353	20.0	1000.0	10254	19647	834	1600	1	0.10728810282224256	34.0	0.07180017285573259	0.07180017285573259	0.0051552648221130795	1
[17, 18, 19]	cos(div(div(cos(sin(X19)), div(X18, -5)), sub(X19, cos(X17))))	None	0.715737029265447	0.76375	4	1000.0	24989	5565	20.0	4000.0	14838	19435	1222	1600	1	0.8782284388522194	422.0	0.715737029265447	0.715737029265447	0.5122794950617273	1
[17, 18, 19]	sub(add(sin(X17), X17), div(X18, X19))	None	0.2758737154897839	0.585	1	1000.0	24985	5565	20.0	1000.0	11365	19435	936	1600	1	0.40657659806888313	136.0	0.2758737154897839	0.2758737154897839	0.07610630689813823	1
[17, 18, 19]	cos(div(div(cos(X18), div(X18, -5)), sub(X19, cos(X17))))	None	0.5028247735673639	0.66875	2	1000.0	24985	5927	20.0	2000.0	12755	19073	1070	1600	1	0.6971216679088881	270.0	0.5028247735673639	0.5028247735673639	0.2528327529130708	1
[17, 18, 19]	sub(add(X17, X19), div(X18, X17))	None	0.3662792148605585	0.61625	2	1000.0	24989	5983	20.0	2000.0	11713	19017	986	1600	1	0.5306768441065102	186.0	0.3662792148605585	0.3662792148605585	0.13416046323886716	1
[17, 18, 19]	cos(div(div(X18, div(X18, -5)), sub(X19, cos(X17))))	None	0.20256603328512865	0.56125	1	1000.0	24989	6076	20.0	1000.0	10619	18924	898	1600	1	0.3010515355745275	98.0	0.20256603328512865	0.20256603328512865	0.041032997840871846	1
[17, 18, 19]	sub(add(sin(X17), X19), div(X18, add(sin(X17), X19)))	None	0.18667058285380514	0.55625	1	1000.0	24989	6127	20.0	1000.0	10495	18873	890	1600	1	0.27777986744633565	90.0	0.18667058285380514	0.18667058285380514	0.03484590650297933	1
[17, 18, 19]	div(add(sub(X19, X17), X18), div(-4, X19))	None	0.2512218558867228	0.576875	1	1000.0	24989	6169	20.0	1000.0	10886	18831	923	1600	1	0.3714732940093848	123.0	0.2512218558867228	0.2512218558867228	0.06311242087516931	1
[4, 15, 17, 18, 19]	div(add(sub(X19, X17), X18), div(div(div(cos(sin(X17)), div(X18, -5)), sub(X19, cos(X4))), X15))	None	0.49824557092322774	0.666875	1	1000.0	24989	6177	20.0	1000.0	12569	18823	1067	1600	1	0.6920821909450282	267.0	0.49824557092322774	0.49824557092322774	0.24824864894461315	1
[17, 18, 19]	cos(div(div(cos(X19), div(X18, -5)), sub(X19, cos(X17))))	None	0.6005610858085905	0.710625	1	1000.0	24989	6312	20.0	1000.0	13280	18688	1137	1600	1	0.7936417786832571	337.0	0.6005610858085905	0.6005610858085905	0.36067361778759316	1
[17, 18, 19]	cos(div(div(cos(X17), div(X18, -5)), sub(X19, cos(X17))))	None	0.5678984630600562	0.69625	1	1000.0	24987	6383	20.0	1000.0	12929	18617	1114	1600	1	0.7638309233813638	314.0	0.5678984630600562	0.5678984630600562	0.322508664345974	1
[17, 18, 19, 15]	div(add(sub(X19, X17), X18), div(X17, X15))	None	0.4828367828252809	0.660625	1	1000.0	24989	6430	20.0	1000.0	12284	18570	1057	1600	1	0.674813040349454	257.0	0.4828367828252809	0.4828367828252809	0.2331313588490675	1
[17, 18, 19]	cos(div(div(cos(sin(X18)), div(X18, -5)), sub(X19, cos(X17))))	None	0.42374323127234503	0.6375	1	1000.0	24985	6519	20.0	1000.0	11764	18481	1020	1600	1	0.604464740271352	220.0	0.42374323127234503	0.42374323127234503	0.17955832604912808	1
[17, 18, 19]	cos(div(div(cos(sin(X19)), div(X18, -5)), sub(X18, cos(X17))))	None	0.09477934961180354	0.528125	1	1000.0	24989	6616	20.0	1000.0	9714	18384	845	1600	1	0.14160072795445547	45.0	0.09477934961180354	0.09477934961180354	0.008983125112836483	1
